Sample Id	CDC25C: Putative copy-number alterations from GISTIC	CDC25C: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-AR-A1AH-01	Shallow Deletion	265.286	CDC25C: Shallow Deletion
TCGA-AR-A1AJ-01	Shallow Deletion	209.627	CDC25C: Shallow Deletion
TCGA-AR-A1AN-01	Shallow Deletion	32.895	CDC25C: Shallow Deletion
TCGA-AR-A1AQ-01	Shallow Deletion	165.289	CDC25C: Shallow Deletion
TCGA-AR-A1AR-01	Shallow Deletion	196.243	CDC25C: Shallow Deletion
TCGA-AR-A1AY-01	Shallow Deletion	129.696	CDC25C: Shallow Deletion
TCGA-AR-A24K-01	Shallow Deletion	115.814	CDC25C: Shallow Deletion
TCGA-AR-A24L-01	Shallow Deletion	51.7106	CDC25C: Shallow Deletion
TCGA-AR-A24Q-01	Shallow Deletion	130.716	CDC25C: Shallow Deletion
TCGA-AR-A24S-01	Shallow Deletion	58.3308	CDC25C: Shallow Deletion
TCGA-AR-A24U-01	Shallow Deletion	59.2531	CDC25C: Shallow Deletion
TCGA-AR-A24Z-01	Shallow Deletion	131.166	CDC25C: Shallow Deletion
TCGA-AR-A250-01	Shallow Deletion	93.543	CDC25C: Shallow Deletion
TCGA-AR-A251-01	Shallow Deletion	315.638	CDC25C: Shallow Deletion
TCGA-B6-A0IB-01	Shallow Deletion	129.942	CDC25C: Shallow Deletion
TCGA-B6-A0IE-01	Shallow Deletion	91.8573	CDC25C: Shallow Deletion
TCGA-B6-A0IJ-01	Shallow Deletion	306.358	CDC25C: Shallow Deletion
TCGA-B6-A0IO-01	Shallow Deletion	80.2698	CDC25C: Shallow Deletion
TCGA-B6-A0RE-01	Shallow Deletion	135.43	CDC25C: Shallow Deletion
TCGA-B6-A0RP-01	Shallow Deletion	22.2094	CDC25C: Shallow Deletion
TCGA-B6-A0RS-01	Shallow Deletion	67.5505	CDC25C: Shallow Deletion
TCGA-B6-A0RU-01	Shallow Deletion	246.961	CDC25C: Shallow Deletion
TCGA-B6-A0WX-01	Shallow Deletion	68.2614	CDC25C: Shallow Deletion
TCGA-B6-A0X1-01	Shallow Deletion	148.39	CDC25C: Shallow Deletion
TCGA-B6-A1KF-01	Shallow Deletion	151.538	CDC25C: Shallow Deletion
TCGA-B6-A409-01	Shallow Deletion	154.213	CDC25C: Shallow Deletion
TCGA-BH-A0AU-01	Shallow Deletion	56.4125	CDC25C: Shallow Deletion
TCGA-BH-A0AV-01	Shallow Deletion	159.503	CDC25C: Shallow Deletion
TCGA-BH-A0B4-01	Shallow Deletion	48.052	CDC25C: Shallow Deletion
TCGA-BH-A0BF-01	Shallow Deletion	51.2376	CDC25C: Shallow Deletion
TCGA-BH-A0BG-01	Shallow Deletion	87.3678	CDC25C: Shallow Deletion
TCGA-BH-A0BL-01	Shallow Deletion	130.094	CDC25C: Shallow Deletion
TCGA-BH-A0BP-01	Shallow Deletion	32.0963	CDC25C: Shallow Deletion
TCGA-BH-A0BT-01	Shallow Deletion	29.5276	CDC25C: Shallow Deletion
TCGA-BH-A0BW-01	Shallow Deletion	110.906	CDC25C: Shallow Deletion
TCGA-BH-A0C0-01	Shallow Deletion	110.119	CDC25C: Shallow Deletion
TCGA-BH-A0E0-01	Shallow Deletion	223.035	CDC25C: Shallow Deletion
TCGA-BH-A0E6-01	Shallow Deletion	198.598	CDC25C: Shallow Deletion
TCGA-BH-A0WA-01	Shallow Deletion	98.177	CDC25C: Shallow Deletion
TCGA-BH-A18T-01	Shallow Deletion	159.231	CDC25C: Shallow Deletion
TCGA-BH-A18V-01	Shallow Deletion	104.403	CDC25C: Shallow Deletion
TCGA-BH-A1EV-01	Shallow Deletion	51.6154	CDC25C: Shallow Deletion
TCGA-BH-A1F2-01	Shallow Deletion	61.7552	CDC25C: Shallow Deletion
TCGA-BH-A1F6-01	Shallow Deletion	137.199	CDC25C: Shallow Deletion
TCGA-BH-A1FC-01	Shallow Deletion	314.233	CDC25C: Shallow Deletion
TCGA-BH-A1FE-01	Shallow Deletion	130.9	CDC25C: Shallow Deletion
TCGA-BH-A1FU-01	Shallow Deletion	60.6323	CDC25C: Shallow Deletion
TCGA-BH-A208-01	Shallow Deletion	20.0458	CDC25C: Shallow Deletion
TCGA-BH-A5IZ-01	Shallow Deletion	137.386	CDC25C: Shallow Deletion
TCGA-BH-A8FZ-01	Shallow Deletion	24.3621	CDC25C: Shallow Deletion
TCGA-C8-A12K-01	Shallow Deletion	142.505	CDC25C: Shallow Deletion
TCGA-C8-A12L-01	Shallow Deletion	121.1	CDC25C: Shallow Deletion
TCGA-C8-A130-01	Shallow Deletion	101.708	CDC25C: Shallow Deletion
TCGA-C8-A131-01	Shallow Deletion	90.9528	CDC25C: Shallow Deletion
TCGA-C8-A134-01	Shallow Deletion	152.901	CDC25C: Shallow Deletion
TCGA-C8-A135-01	Shallow Deletion	169.124	CDC25C: Shallow Deletion
TCGA-C8-A1HF-01	Shallow Deletion	235.818	CDC25C: Shallow Deletion
TCGA-C8-A1HJ-01	Shallow Deletion	193.277	CDC25C: Shallow Deletion
TCGA-C8-A1HM-01	Shallow Deletion	215.436	CDC25C: Shallow Deletion
TCGA-C8-A26W-01	Shallow Deletion	185.082	CDC25C: Shallow Deletion
TCGA-C8-A26X-01	Shallow Deletion	62.4989	CDC25C: Shallow Deletion
TCGA-C8-A26Y-01	Shallow Deletion	178.369	CDC25C: Shallow Deletion
TCGA-C8-A278-01	Shallow Deletion	91.7049	CDC25C: Shallow Deletion
TCGA-C8-A27A-01	Shallow Deletion	166.444	CDC25C: Shallow Deletion
TCGA-C8-A27B-01	Shallow Deletion	314.02	CDC25C: Shallow Deletion
TCGA-C8-A3M7-01	Shallow Deletion	39.3734	CDC25C: Shallow Deletion
TCGA-C8-A8HR-01	Shallow Deletion	58.9327	CDC25C: Shallow Deletion
TCGA-D8-A142-01	Shallow Deletion	66.1355	CDC25C: Shallow Deletion
TCGA-D8-A1JB-01	Shallow Deletion	14.8198	CDC25C: Shallow Deletion
TCGA-D8-A1JF-01	Shallow Deletion	31.8864	CDC25C: Shallow Deletion
TCGA-D8-A1JK-01	Shallow Deletion	125.313	CDC25C: Shallow Deletion
TCGA-D8-A1JP-01	Shallow Deletion	81.6523	CDC25C: Shallow Deletion
TCGA-D8-A1XA-01	Shallow Deletion	23.9351	CDC25C: Shallow Deletion
TCGA-D8-A1XF-01	Shallow Deletion	88.4144	CDC25C: Shallow Deletion
TCGA-D8-A1XL-01	Shallow Deletion	103.787	CDC25C: Shallow Deletion
TCGA-D8-A1XQ-01	Shallow Deletion	101.896	CDC25C: Shallow Deletion
TCGA-D8-A1XT-01	Shallow Deletion	73.8171	CDC25C: Shallow Deletion
TCGA-D8-A1XW-01	Shallow Deletion	36.7166	CDC25C: Shallow Deletion
TCGA-D8-A1XZ-01	Shallow Deletion	60.5551	CDC25C: Shallow Deletion
TCGA-D8-A1Y3-01	Shallow Deletion	161.578	CDC25C: Shallow Deletion
TCGA-D8-A27F-01	Shallow Deletion	171.934	CDC25C: Shallow Deletion
TCGA-D8-A27H-01	Shallow Deletion	67.4484	CDC25C: Shallow Deletion
TCGA-D8-A27M-01	Shallow Deletion	79.4335	CDC25C: Shallow Deletion
TCGA-E2-A10C-01	Shallow Deletion	91.3416	CDC25C: Shallow Deletion
TCGA-E2-A14N-01	Shallow Deletion	223.364	CDC25C: Shallow Deletion
TCGA-E2-A14R-01	Shallow Deletion	216.439	CDC25C: Shallow Deletion
TCGA-E2-A150-01	Shallow Deletion	69.2108	CDC25C: Shallow Deletion
TCGA-E2-A155-01	Shallow Deletion	117.664	CDC25C: Shallow Deletion
TCGA-E2-A158-01	Shallow Deletion	102.829	CDC25C: Shallow Deletion
TCGA-E2-A15A-01	Shallow Deletion	115.812	CDC25C: Shallow Deletion
TCGA-E2-A1AZ-01	Shallow Deletion	252.063	CDC25C: Shallow Deletion
TCGA-E2-A1B0-01	Shallow Deletion	141.851	CDC25C: Shallow Deletion
TCGA-E2-A1II-01	Shallow Deletion	154.327	CDC25C: Shallow Deletion
TCGA-E2-A1IO-01	Shallow Deletion	33.3705	CDC25C: Shallow Deletion
TCGA-E2-A1L7-01	Shallow Deletion	327.065	CDC25C: Shallow Deletion
TCGA-E2-A1LA-01	Shallow Deletion	198.932	CDC25C: Shallow Deletion
TCGA-E2-A1LH-01	Shallow Deletion	165.155	CDC25C: Shallow Deletion
TCGA-E2-A1LI-01	Shallow Deletion	210.637	CDC25C: Shallow Deletion
TCGA-E2-A1LK-01	Shallow Deletion	66.321	CDC25C: Shallow Deletion
TCGA-E2-A1LL-01	Shallow Deletion	160.069	CDC25C: Shallow Deletion
TCGA-E2-A573-01	Shallow Deletion	257.359	CDC25C: Shallow Deletion
TCGA-E2-A574-01	Shallow Deletion	147.026	CDC25C: Shallow Deletion
TCGA-E9-A1N8-01	Shallow Deletion	60.1221	CDC25C: Shallow Deletion
TCGA-E9-A1NC-01	Shallow Deletion	83.7793	CDC25C: Shallow Deletion
TCGA-E9-A1ND-01	Shallow Deletion	81.4639	CDC25C: Shallow Deletion
TCGA-E9-A1RB-01	Shallow Deletion	136.839	CDC25C: Shallow Deletion
TCGA-E9-A1RH-01	Shallow Deletion	3.1718	CDC25C: Shallow Deletion
TCGA-E9-A22A-01	Shallow Deletion	35.1032	CDC25C: Shallow Deletion
TCGA-E9-A22G-01	Shallow Deletion	259.349	CDC25C: Shallow Deletion
TCGA-E9-A244-01	Shallow Deletion	123.816	CDC25C: Shallow Deletion
TCGA-E9-A3QA-01	Shallow Deletion	142.456	CDC25C: Shallow Deletion
TCGA-E9-A5FL-01	Shallow Deletion	133.721	CDC25C: Shallow Deletion
TCGA-EW-A1OV-01	Shallow Deletion	61.7089	CDC25C: Shallow Deletion
TCGA-EW-A1P4-01	Shallow Deletion	143.899	CDC25C: Shallow Deletion
TCGA-EW-A1P8-01	Shallow Deletion	187.814	CDC25C: Shallow Deletion
TCGA-EW-A1PA-01	Shallow Deletion	87.0667	CDC25C: Shallow Deletion
TCGA-EW-A1PH-01	Shallow Deletion	216.499	CDC25C: Shallow Deletion
TCGA-EW-A2FV-01	Shallow Deletion	257.633	CDC25C: Shallow Deletion
TCGA-EW-A6SA-01	Shallow Deletion	282.145	CDC25C: Shallow Deletion
TCGA-EW-A6SB-01	Shallow Deletion	111.529	CDC25C: Shallow Deletion
TCGA-EW-A6SD-01	Shallow Deletion	114.382	CDC25C: Shallow Deletion
TCGA-GM-A2DD-01	Shallow Deletion	88.058	CDC25C: Shallow Deletion
TCGA-GM-A2DF-01	Shallow Deletion	99.9096	CDC25C: Shallow Deletion
TCGA-GM-A2DH-01	Shallow Deletion	207.575	CDC25C: Shallow Deletion
TCGA-GM-A3XL-01	Shallow Deletion	321.596	CDC25C: Shallow Deletion
TCGA-HN-A2NL-01	Shallow Deletion	310.994	CDC25C: Shallow Deletion
TCGA-LD-A7W5-01	Shallow Deletion	53.2318	CDC25C: Shallow Deletion
TCGA-LL-A5YN-01	Shallow Deletion	74.7126	CDC25C: Shallow Deletion
TCGA-LL-A5YP-01	Shallow Deletion	113.924	CDC25C: Shallow Deletion
TCGA-LL-A6FR-01	Shallow Deletion	162.541	CDC25C: Shallow Deletion
TCGA-OL-A5D7-01	Shallow Deletion	221.718	CDC25C: Shallow Deletion
TCGA-OL-A5RW-01	Shallow Deletion	235.56	CDC25C: Shallow Deletion
TCGA-OL-A5RZ-01	Shallow Deletion	127.877	CDC25C: Shallow Deletion
TCGA-OL-A5S0-01	Shallow Deletion	133.828	CDC25C: Shallow Deletion
TCGA-OL-A66I-01	Shallow Deletion	159.833	CDC25C: Shallow Deletion
TCGA-OL-A66J-01	Shallow Deletion	32.8977	CDC25C: Shallow Deletion
TCGA-PL-A8LV-01	Shallow Deletion	75.4458	CDC25C: Shallow Deletion
TCGA-PL-A8LX-01	Shallow Deletion	20.0289	CDC25C: Shallow Deletion
TCGA-PL-A8LZ-01	Shallow Deletion	174.66	CDC25C: Shallow Deletion
TCGA-S3-AA10-01	Shallow Deletion	179.073	CDC25C: Shallow Deletion
TCGA-WT-AB41-01	Shallow Deletion	59.9369	CDC25C: Shallow Deletion
TCGA-3C-AALJ-01	Diploid	119.674	CDC25C: Diploid
TCGA-3C-AALK-01	Diploid	60.8192	CDC25C: Diploid
TCGA-4H-AAAK-01	Diploid	51.4894	CDC25C: Diploid
TCGA-5L-AAT0-01	Diploid	34.0226	CDC25C: Diploid
TCGA-5T-A9QA-01	Diploid	173.117	CDC25C: Diploid
TCGA-A1-A0SB-01	Diploid	34.6886	CDC25C: Diploid
TCGA-A1-A0SD-01	Diploid	73.7739	CDC25C: Diploid
TCGA-A1-A0SE-01	Diploid	117.157	CDC25C: Diploid
TCGA-A1-A0SF-01	Diploid	77.541	CDC25C: Diploid
TCGA-A1-A0SG-01	Diploid	38.5204	CDC25C: Diploid
TCGA-A1-A0SM-01	Diploid	76.0732	CDC25C: Diploid
TCGA-A1-A0SQ-01	Diploid	80.6858	CDC25C: Diploid
TCGA-A2-A04N-01	Diploid	41.6006	CDC25C: Diploid
TCGA-A2-A04P-01	Diploid	229.253	CDC25C: Diploid
TCGA-A2-A04R-01	Diploid	243.412	CDC25C: Diploid
TCGA-A2-A04V-01	Diploid	163.781	CDC25C: Diploid
TCGA-A2-A04X-01	Diploid	150.322	CDC25C: Diploid
TCGA-A2-A04Y-01	Diploid	132.82	CDC25C: Diploid
TCGA-A2-A0CK-01	Diploid	105.859	CDC25C: Diploid
TCGA-A2-A0CL-01	Diploid	86.364	CDC25C: Diploid
TCGA-A2-A0CP-01	Diploid	12.0643	CDC25C: Diploid
TCGA-A2-A0CQ-01	Diploid	94.6851	CDC25C: Diploid
TCGA-A2-A0CR-01	Diploid	91.8515	CDC25C: Diploid
TCGA-A2-A0CS-01	Diploid	41.9935	CDC25C: Diploid
TCGA-A2-A0CT-01	Diploid	121.237	CDC25C: Diploid
TCGA-A2-A0CU-01	Diploid	114.547	CDC25C: Diploid
TCGA-A2-A0CV-01	Diploid	3.1518	CDC25C: Diploid
TCGA-A2-A0CW-01	Diploid	380.227	CDC25C: Diploid
TCGA-A2-A0D2-01	Diploid	327.481	CDC25C: Diploid
TCGA-A2-A0D3-01	Diploid	6.1261	CDC25C: Diploid
TCGA-A2-A0D4-01	Diploid	428.66	CDC25C: Diploid
TCGA-A2-A0EM-01	Diploid	47.2301	CDC25C: Diploid
TCGA-A2-A0EO-01	Diploid	55.2367	CDC25C: Diploid
TCGA-A2-A0EP-01	Diploid	34.8871	CDC25C: Diploid
TCGA-A2-A0ER-01	Diploid	196.786	CDC25C: Diploid
TCGA-A2-A0ES-01	Diploid	28.2344	CDC25C: Diploid
TCGA-A2-A0EW-01	Diploid	29.4013	CDC25C: Diploid
TCGA-A2-A0EX-01	Diploid	17.5131	CDC25C: Diploid
TCGA-A2-A0ST-01	Diploid	119.773	CDC25C: Diploid
TCGA-A2-A0SU-01	Diploid	91.6918	CDC25C: Diploid
TCGA-A2-A0SV-01	Diploid	211.263	CDC25C: Diploid
TCGA-A2-A0T0-01	Diploid	198.554	CDC25C: Diploid
TCGA-A2-A0T1-01	Diploid	75.6564	CDC25C: Diploid
TCGA-A2-A0T2-01	Diploid	61.9706	CDC25C: Diploid
TCGA-A2-A0T3-01	Diploid	180.952	CDC25C: Diploid
TCGA-A2-A0T4-01	Diploid	164.47	CDC25C: Diploid
TCGA-A2-A0T5-01	Diploid	79.8796	CDC25C: Diploid
TCGA-A2-A0YC-01	Diploid	74.0376	CDC25C: Diploid
TCGA-A2-A0YD-01	Diploid	31.2425	CDC25C: Diploid
TCGA-A2-A0YF-01	Diploid	135.228	CDC25C: Diploid
TCGA-A2-A0YI-01	Diploid	13.4168	CDC25C: Diploid
TCGA-A2-A0YK-01	Diploid	37.5662	CDC25C: Diploid
TCGA-A2-A0YL-01	Diploid	88.4119	CDC25C: Diploid
TCGA-A2-A0YT-01	Diploid	188.254	CDC25C: Diploid
TCGA-A2-A1FV-01	Diploid	50.2168	CDC25C: Diploid
TCGA-A2-A1FZ-01	Diploid	41.3777	CDC25C: Diploid
TCGA-A2-A1G4-01	Diploid	124.974	CDC25C: Diploid
TCGA-A2-A1G6-01	Diploid	2.0013	CDC25C: Diploid
TCGA-A2-A259-01	Diploid	15.2415	CDC25C: Diploid
TCGA-A2-A25A-01	Diploid	82.8804	CDC25C: Diploid
TCGA-A2-A25B-01	Diploid	171.935	CDC25C: Diploid
TCGA-A2-A25C-01	Diploid	301.5	CDC25C: Diploid
TCGA-A2-A25D-01	Diploid	84.92	CDC25C: Diploid
TCGA-A2-A25E-01	Diploid	213.522	CDC25C: Diploid
TCGA-A2-A25F-01	Diploid	116.405	CDC25C: Diploid
TCGA-A2-A3KD-01	Diploid	66.4137	CDC25C: Diploid
TCGA-A2-A3XV-01	Diploid	109.247	CDC25C: Diploid
TCGA-A2-A3XW-01	Diploid	42.1687	CDC25C: Diploid
TCGA-A2-A3XZ-01	Diploid	59.6141	CDC25C: Diploid
TCGA-A2-A3Y0-01	Diploid	244.962	CDC25C: Diploid
TCGA-A7-A0CE-01	Diploid	174.93	CDC25C: Diploid
TCGA-A7-A0CG-01	Diploid	84.7724	CDC25C: Diploid
TCGA-A7-A0CH-01	Diploid	42.7494	CDC25C: Diploid
TCGA-A7-A0D9-01	Diploid	40.3458	CDC25C: Diploid
TCGA-A7-A13G-01	Diploid	33.9006	CDC25C: Diploid
TCGA-A7-A26E-01	Diploid	103.265	CDC25C: Diploid
TCGA-A7-A26F-01	Diploid	91.3536	CDC25C: Diploid
TCGA-A7-A26H-01	Diploid	48.8277	CDC25C: Diploid
TCGA-A7-A2KD-01	Diploid	166.011	CDC25C: Diploid
TCGA-A7-A3RF-01	Diploid	37.7719	CDC25C: Diploid
TCGA-A7-A5ZV-01	Diploid	154.626	CDC25C: Diploid
TCGA-A7-A5ZW-01	Diploid	23.6739	CDC25C: Diploid
TCGA-A7-A5ZX-01	Diploid	5.7289	CDC25C: Diploid
TCGA-A7-A6VX-01	Diploid	146.29	CDC25C: Diploid
TCGA-A8-A06T-01	Diploid	71.0273	CDC25C: Diploid
TCGA-A8-A06U-01	Diploid	159.082	CDC25C: Diploid
TCGA-A8-A06Y-01	Diploid	41.8263	CDC25C: Diploid
TCGA-A8-A075-01	Diploid	131.947	CDC25C: Diploid
TCGA-A8-A079-01	Diploid	378.829	CDC25C: Diploid
TCGA-A8-A07B-01	Diploid	71.8512	CDC25C: Diploid
TCGA-A8-A07E-01	Diploid	156.733	CDC25C: Diploid
TCGA-A8-A07F-01	Diploid	66.2648	CDC25C: Diploid
TCGA-A8-A07I-01	Diploid	99.2173	CDC25C: Diploid
TCGA-A8-A07J-01	Diploid	17.4813	CDC25C: Diploid
TCGA-A8-A07L-01	Diploid	224.811	CDC25C: Diploid
TCGA-A8-A07O-01	Diploid	349.584	CDC25C: Diploid
TCGA-A8-A07P-01	Diploid	98.1341	CDC25C: Diploid
TCGA-A8-A082-01	Diploid	212	CDC25C: Diploid
TCGA-A8-A085-01	Diploid	134.688	CDC25C: Diploid
TCGA-A8-A08A-01	Diploid	57.1702	CDC25C: Diploid
TCGA-A8-A08B-01	Diploid	109.541	CDC25C: Diploid
TCGA-A8-A08H-01	Diploid	96.2245	CDC25C: Diploid
TCGA-A8-A08I-01	Diploid	130.149	CDC25C: Diploid
TCGA-A8-A08J-01	Diploid	123.087	CDC25C: Diploid
TCGA-A8-A08L-01	Diploid	247.779	CDC25C: Diploid
TCGA-A8-A08O-01	Diploid	81.2246	CDC25C: Diploid
TCGA-A8-A08P-01	Diploid	83.6349	CDC25C: Diploid
TCGA-A8-A08T-01	Diploid	48.9218	CDC25C: Diploid
TCGA-A8-A08Z-01	Diploid	77.6762	CDC25C: Diploid
TCGA-A8-A090-01	Diploid	75.3083	CDC25C: Diploid
TCGA-A8-A091-01	Diploid	54.8372	CDC25C: Diploid
TCGA-A8-A092-01	Diploid	199.21	CDC25C: Diploid
TCGA-A8-A096-01	Diploid	83.5946	CDC25C: Diploid
TCGA-A8-A099-01	Diploid	28.4882	CDC25C: Diploid
TCGA-A8-A09C-01	Diploid	77.0947	CDC25C: Diploid
TCGA-A8-A09D-01	Diploid	125.501	CDC25C: Diploid
TCGA-A8-A09G-01	Diploid	117.857	CDC25C: Diploid
TCGA-A8-A09I-01	Diploid	223.468	CDC25C: Diploid
TCGA-A8-A09M-01	Diploid	133.013	CDC25C: Diploid
TCGA-A8-A09N-01	Diploid	339.084	CDC25C: Diploid
TCGA-A8-A09T-01	Diploid	41.6667	CDC25C: Diploid
TCGA-A8-A09V-01	Diploid	67.3632	CDC25C: Diploid
TCGA-A8-A09W-01	Diploid	216.794	CDC25C: Diploid
TCGA-A8-A0A4-01	Diploid	123.614	CDC25C: Diploid
