Sample Id	CDK1: Putative copy-number alterations from GISTIC	CDK1: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-A2-A25A-01	Diploid	747.056	CDK1: Diploid
TCGA-A2-A25C-01	Diploid	1586.46	CDK1: Diploid
TCGA-A2-A25E-01	Diploid	1672.01	CDK1: Diploid
TCGA-A2-A25F-01	Diploid	1035.28	CDK1: Diploid
TCGA-A2-A3KD-01	Diploid	468.136	CDK1: Diploid
TCGA-A2-A3XU-01	Diploid	1013.32	CDK1: Diploid
TCGA-A2-A3XV-01	Diploid	658.495	CDK1: Diploid
TCGA-A2-A3XW-01	Diploid	207.3	CDK1: Diploid
TCGA-A2-A3XX-01	Diploid	1240.68	CDK1: Diploid
TCGA-A2-A3XZ-01	Diploid	608.546	CDK1: Diploid
TCGA-A2-A3Y0-01	Diploid	1958.3	CDK1: Diploid
TCGA-A2-A4S2-01	Diploid	247.692	CDK1: Diploid
TCGA-A2-A4S3-01	Diploid	2114.04	CDK1: Diploid
TCGA-A7-A0CD-01	Diploid	495.346	CDK1: Diploid
TCGA-A7-A0CE-01	Diploid	1306.21	CDK1: Diploid
TCGA-A7-A0CG-01	Diploid	545.918	CDK1: Diploid
TCGA-A7-A0CH-01	Diploid	414.759	CDK1: Diploid
TCGA-A7-A0D9-01	Diploid	274.599	CDK1: Diploid
TCGA-A7-A0DB-01	Diploid	623.814	CDK1: Diploid
TCGA-A7-A13G-01	Diploid	302.415	CDK1: Diploid
TCGA-A7-A26F-01	Diploid	1308.05	CDK1: Diploid
TCGA-A7-A26H-01	Diploid	573.629	CDK1: Diploid
TCGA-A7-A26J-01	Diploid	895.926	CDK1: Diploid
TCGA-A7-A3RF-01	Diploid	284.038	CDK1: Diploid
TCGA-A7-A425-01	Diploid	529.602	CDK1: Diploid
TCGA-A7-A5ZW-01	Diploid	305.528	CDK1: Diploid
TCGA-A7-A5ZX-01	Diploid	93.7084	CDK1: Diploid
TCGA-A7-A6VW-01	Diploid	2429.26	CDK1: Diploid
TCGA-A7-A6VY-01	Diploid	1511.59	CDK1: Diploid
TCGA-A8-A06P-01	Diploid	222.406	CDK1: Diploid
TCGA-A8-A06T-01	Diploid	585.308	CDK1: Diploid
TCGA-A8-A06Y-01	Diploid	358.629	CDK1: Diploid
TCGA-A8-A06Z-01	Diploid	1080.11	CDK1: Diploid
TCGA-A8-A079-01	Diploid	1720.97	CDK1: Diploid
TCGA-A8-A07B-01	Diploid	1383.77	CDK1: Diploid
TCGA-A8-A07F-01	Diploid	587.8	CDK1: Diploid
TCGA-A8-A07G-01	Diploid	326.58	CDK1: Diploid
TCGA-A8-A07I-01	Diploid	948.076	CDK1: Diploid
TCGA-A8-A07J-01	Diploid	220.357	CDK1: Diploid
TCGA-A8-A07L-01	Diploid	2291.3	CDK1: Diploid
TCGA-A8-A07O-01	Diploid	1669.86	CDK1: Diploid
TCGA-A8-A07P-01	Diploid	995.508	CDK1: Diploid
TCGA-A8-A07U-01	Diploid	1307.76	CDK1: Diploid
TCGA-A8-A07W-01	Diploid	1264.16	CDK1: Diploid
TCGA-A8-A081-01	Diploid	1782.31	CDK1: Diploid
TCGA-A8-A082-01	Diploid	772.4	CDK1: Diploid
TCGA-A8-A083-01	Diploid	570.13	CDK1: Diploid
TCGA-A8-A085-01	Diploid	769.677	CDK1: Diploid
TCGA-A8-A086-01	Diploid	914.759	CDK1: Diploid
TCGA-A8-A08A-01	Diploid	368.688	CDK1: Diploid
TCGA-A8-A08G-01	Diploid	911.426	CDK1: Diploid
TCGA-A8-A08H-01	Diploid	533.69	CDK1: Diploid
TCGA-A8-A08O-01	Diploid	891.388	CDK1: Diploid
TCGA-A8-A08T-01	Diploid	404.992	CDK1: Diploid
TCGA-A8-A08Z-01	Diploid	627.611	CDK1: Diploid
TCGA-A8-A090-01	Diploid	949.638	CDK1: Diploid
TCGA-A8-A091-01	Diploid	417.625	CDK1: Diploid
TCGA-A8-A093-01	Diploid	480.366	CDK1: Diploid
TCGA-A8-A095-01	Diploid	1583.8	CDK1: Diploid
TCGA-A8-A096-01	Diploid	577.011	CDK1: Diploid
TCGA-A8-A099-01	Diploid	417.887	CDK1: Diploid
TCGA-A8-A09C-01	Diploid	894.798	CDK1: Diploid
TCGA-A8-A09D-01	Diploid	1037.29	CDK1: Diploid
TCGA-A8-A09G-01	Diploid	1284.97	CDK1: Diploid
TCGA-A8-A09M-01	Diploid	872.41	CDK1: Diploid
TCGA-A8-A09N-01	Diploid	1603.75	CDK1: Diploid
TCGA-A8-A09T-01	Diploid	860.063	CDK1: Diploid
TCGA-A8-A09V-01	Diploid	570.8	CDK1: Diploid
TCGA-A8-A09W-01	Diploid	2472.38	CDK1: Diploid
TCGA-A8-A09Z-01	Diploid	440.043	CDK1: Diploid
TCGA-A8-A0A1-01	Diploid	566.265	CDK1: Diploid
TCGA-A8-A0A2-01	Diploid	407.67	CDK1: Diploid
TCGA-A8-A0A4-01	Diploid	572.348	CDK1: Diploid
TCGA-A8-A0A7-01	Diploid	1506.48	CDK1: Diploid
TCGA-A8-A0A9-01	Diploid	558.289	CDK1: Diploid
TCGA-AC-A2B8-01	Diploid	282.943	CDK1: Diploid
TCGA-AC-A2BK-01	Diploid	1716.02	CDK1: Diploid
TCGA-AC-A2BM-01	Diploid	1502.5	CDK1: Diploid
TCGA-AC-A2FB-01	Diploid	456.115	CDK1: Diploid
TCGA-AC-A2FF-01	Diploid	534.944	CDK1: Diploid
TCGA-AC-A2FG-01	Diploid	195.647	CDK1: Diploid
TCGA-AC-A2FK-01	Diploid	70.2534	CDK1: Diploid
TCGA-AC-A2FO-01	Diploid	415.05	CDK1: Diploid
TCGA-AC-A3HN-01	Diploid	441.902	CDK1: Diploid
TCGA-AC-A3OD-01	Diploid	627.125	CDK1: Diploid
TCGA-AC-A3QP-01	Diploid	180.359	CDK1: Diploid
TCGA-AC-A3QQ-01	Diploid	618.953	CDK1: Diploid
TCGA-AC-A3W5-01	Diploid	955.985	CDK1: Diploid
TCGA-AC-A3YI-01	Diploid	171.075	CDK1: Diploid
TCGA-AC-A3YJ-01	Diploid	465.73	CDK1: Diploid
TCGA-AC-A4ZE-01	Diploid	681.295	CDK1: Diploid
TCGA-AC-A5EH-01	Diploid	978.557	CDK1: Diploid
TCGA-AC-A5XS-01	Diploid	833.395	CDK1: Diploid
TCGA-AC-A6IV-01	Diploid	437.467	CDK1: Diploid
